본문,label
"유안타증권자금력이 중요한 상황에서 수익률곡선 변동은 ‘스티프닝’장기금리는 2023년 11월부터 하락하다가, 올해 연초에는 기술적 하단에서 반등을 시도하고 있다.",1
"경착륙과 디플레이션 우려로 장기금리가 크게 하락하는 플래트닝, 인플레이션 완화와 점진적인 정책금리 인하에 따라 단기금리가 하락하는 불 스티프닝, 정책금리가 높은 수준을 유지하는 가운데 장기금리가 상승하는 베어 스티프닝 등이 될 것이다.달러금리의 수익률곡선은 금리 추세와 상관없이 작년 하반기부터 커브 스티프닝 양상을 보이고 있다.",0
하지만 시중의 풍부한 유동성 효과로 물가 하락 속도는 빠르지 않을 것이란 기대도 형성되고 있다.,0
풍부한 유동성 환경이 리스크 요인을 완화시킨 점이 있다.,0
"유안타증권Fed금리 높게 유지되면서, 2가지 경로로 유동성에 영향상반기 인플레이션 안정을 기대해 금리 하락 시점을 타진하는 분위기였지만, 하반기에 장기금리는 상승세가 이어졌다.",1
"인플레이션 흐름이 상승 반전할 수 있고, 주요국 통화정책 기조가 전환되기 어려운 점이 있어 장기채권 수급에 부담이 되고 있다.정책금리와 단기금리가 높은 수준을 유지하면서, 장기채권 수급과 신용 팽창 강도에 영향을 주게 될 것이다.",1
"2022년에 연준의 정책금리 인상 폭이 확대되었지만, 시중 유동성 팽창을 둔화시키는 효과는 크지 않았었다.",1
"안전자산 선호로 금리가 하락하면, 채권 평가손실이 회복되지만, 위험선호 회복은 다시 금리 상승으로 채권 손실 리스크가 부각되는 패턴이 반복될 수 있다.또한 자금 지원과 예금 유입 약화 등으로 중소형 은행들의 자금조달 비용은 이전에 비해 높아지게 되었다.",1
"유안타증권높은 수준의 단기자금 펀딩 비용, 장기금리 하락 부담지난 1월에 국고10년 금리는 50bps 하락한 후, 반등하는 패턴이다.",1
"수급적으로 특징적인 점은 기존의 주요 투자자였던 보험, 은행, 외국인 등의 채권 투자잔고는 감소하였지만, 개인, 증권사, 연기금 등의 투자가 증가한 점이 있다.외국인은 작년부터 원화채권 투자 잔고에 변화가 없었는데, 올해 들어서는 ￦6조 넘게 원화 채권 투자 잔고를 축소하고 있다.",1
